YEARS,OFFGUIDE,SENTTCAP,LOSS1,NEWEDUC
5,13,18,NA,5
7,10,60,NA,1
5,10,144,NA,1
6,10,120,NA,1
6,29,12.03,499958,3
6,10,82,NA,5
3,26,42,1000,5
5,10,60,NA,5
4,10,120,NA,1
4,17,18,NA,1
3,10,31,NA,5
6,17,4.59,NA,1
3,13,60,NA,3
5,13,100,NA,1
4,13,24,NA,3
3,13,48,NA,1
2,26,14,2000,3
5,10,156,NA,3
6,10,120,NA,3
4,10,23.3,NA,3
4,21,29.69,352830,1
6,16,30,403549,6
6,27,300,NA,5
7,10,46,NA,5
4,10,46,NA,5
7,21,NA,596000,5
6,10,180,NA,5
6,10,NA,NA,3
5,10,0.03,NA,1
2,26,60,1660,1
3,13,46,NA,3
4,17,24,NA,1
5,10,60,NA,3
3,13,37,NA,3
6,10,100,NA,5
6,10,62,NA,1
5,13,30,NA,3
2,10,57,NA,1
4,17,8,NA,1
2,22,168,NA,1
7,17,18,NA,3
6,10,0.03,NA,1
4,10,24,NA,5
3,10,180,NA,1
6,16,65,294421,5
3,26,72,0,1
6,17,6,NA,1
3,17,0.03,NA,1
6,17,4.83,NA,1
6,17,18,NA,1
6,16,0.03,9700,6
3,17,12.03,NA,1
6,17,15,NA,1
3,16,9,284000,3
4,17,8,NA,1
7,22,469.99,NA,3
6,17,18,NA,1
6,17,21,NA,3
2,13,66,NA,3
5,17,0.03,NA,NA
7,16,120,144931554,6
7,24,21,NA,3
4,17,12.03,NA,1
4,17,3.38,NA,1
5,17,18,NA,1
2,23,16,NA,3
3,17,2.53,NA,NA
4,13,32,NA,1
4,17,3.84,NA,1
5,10,264,NA,5
2,16,18,221621,3
5,10,18.82,NA,3
2,16,15,21500,5
7,10,108,NA,3
6,13,78,NA,3
4,7,108,NA,6
6,10,120,NA,5
1,30,0.03,NA,NA
1,17,0.03,NA,NA
6,11,NA,9999999997,3
3,10,144,NA,1
6,17,10,NA,1
5,13,37,NA,1
2,10,84,NA,3
7,16,30,2049809,3
6,17,3.32,NA,1
5,17,12.03,NA,1
6,17,24,NA,1
5,10,17,NA,1
3,30,0.03,NA,NA
4,10,46,NA,1
6,17,10,NA,1
4,10,75,NA,3
6,23,8.54,NA,6
6,17,10,NA,1
4,13,96,NA,1
6,13,30,NA,3
5,16,54,252486,5
2,13,103,NA,3
5,27,216,NA,1
6,10,120,NA,3
6,17,0.03,NA,1
2,10,42,NA,3
2,10,70,NA,3
6,13,57,NA,3
6,10,0.03,NA,5
3,17,6,NA,1
6,17,0.03,NA,1
1,17,4.07,NA,1
6,10,135,NA,1
3,17,0.36,NA,5
4,17,43,NA,1
3,10,24,NA,3
3,10,51,NA,3
4,16,80,6796006,3
7,10,NA,NA,6
3,26,12.03,9999999997,3
5,10,108,NA,3
6,17,0.03,NA,1
1,30,NA,NA,NA
6,10,62,NA,3
5,17,5.72,NA,1
4,10,60,NA,5
4,10,63,NA,1
3,10,48,NA,3
5,13,46,NA,3
2,22,240,NA,3
5,13,87,NA,3
2,13,37,NA,1
2,10,48,NA,5
7,7,72,NA,5
6,13,46,NA,1
3,21,0.03,9999999997,6
6,10,57,NA,1
4,17,3,NA,1
4,30,NA,NA,NA
7,16,2,9999999997,5
7,17,10,NA,1
4,10,151,NA,1
2,13,37,NA,5
4,10,264,NA,1
2,19,120,NA,3
1,10,18,NA,3
5,10,146,NA,3
6,21,188,9999999997,6
3,7,120,NA,3
3,10,120,NA,3
6,6,0.99,9999999997,6
5,10,41.23,NA,1
5,7,144,NA,6
2,16,1.28,0,1
6,13,45.59,NA,1
7,16,41,1712522,5
3,10,150,NA,1
2,10,16,NA,5
1,13,57,NA,1
6,13,18,NA,5
2,10,60,NA,1
1,10,72,NA,3
4,6,3.94,9999999997,5
6,16,NA,9999999997,6
2,13,24,NA,3
5,17,26,NA,3
4,17,2.23,NA,1
4,28,15,NA,1
4,10,NA,NA,3
2,26,110,400,1
3,10,100,NA,1
4,10,144,NA,1
2,10,87,NA,1
4,17,0.03,NA,NA
6,7,108,NA,1
5,21,120,NA,5
3,10,120,NA,3
4,13,46,NA,5
5,21,96,NA,1
5,10,121,NA,1
6,5,15,114747,6
7,11,NA,NA,NA
3,10,160,NA,1
6,24,30,NA,3
7,10,0.03,NA,1
6,10,180,NA,1
4,4,30,NA,3
7,10,84,NA,3
4,13,14,NA,1
4,17,6,NA,5
5,16,0.03,62482,5
5,27,180,NA,6
4,17,15,NA,1
4,10,135,NA,5
5,17,4.5,NA,1
6,19,204,NA,1
6,10,156,NA,5
5,17,12.03,NA,1
5,17,3.78,NA,1
6,13,33,NA,3
7,13,63,NA,5
3,10,72,NA,1
6,17,15,NA,1
6,10,66,NA,5
6,10,87,NA,5
6,9,34.16,NA,1
5,10,48,NA,3
3,10,228,NA,3
7,17,5.42,NA,1
4,17,12,NA,1
3,27,33,NA,5
1,10,24,NA,1
2,17,0.2,NA,3
5,13,20,NA,3
6,10,41,NA,1
2,17,0.62,NA,5
3,10,0.03,NA,5
4,13,84,NA,3
5,17,12.03,NA,1
1,21,70,NA,1
3,17,5,NA,1
4,13,42,NA,3
5,10,0.03,NA,1
6,10,140,NA,3
6,10,210,NA,5
2,16,10,34957,3
1,17,16,NA,1
6,30,0.1,NA,5
3,10,2.16,NA,1
4,17,6,NA,1
6,17,10,NA,1
5,17,1.12,NA,1
2,16,NA,171267,5
6,10,72,NA,1
4,10,276,NA,3
7,16,18,654502,6
7,29,38,1636228,6
5,10,54,NA,3
3,13,41,NA,1
4,10,63,NA,5
6,16,18,9999999997,6
5,17,4,NA,1
3,10,92,NA,3
6,10,87,NA,5
3,10,63,NA,3
4,10,24,NA,3
3,10,132,NA,1
3,21,0.03,7900,5
7,27,151,NA,5
3,17,NA,NA,3
2,13,63,NA,1
6,22,470,NA,1
4,10,39,NA,3
6,17,12.03,NA,3
4,10,240,NA,1
6,7,120,0,5
6,7,102,NA,5
4,16,NA,NA,NA
6,16,NA,NA,NA
7,21,70,280000,6
7,10,120,NA,3
6,17,3.89,NA,1
7,10,58,NA,3
3,17,0.03,NA,5
6,10,97,NA,1
6,17,12.03,NA,1
3,17,15,NA,1
5,7,84,NA,3
6,22,470,NA,3
3,21,94,NA,3
2,10,0.33,NA,5
5,16,37,5771304,6
7,17,30,NA,1
3,10,84,NA,3
5,10,0.03,NA,NA
6,26,48,35,3
3,7,60,NA,1
5,17,33,NA,5
6,12,48,8640000,1
2,17,1.87,NA,1
6,17,6,NA,NA
5,13,NA,NA,1
4,17,21,NA,5
7,21,0.03,285767,6
5,10,188,NA,1
3,10,120,NA,1
7,13,27,NA,5
6,21,NA,9999999997,1
5,16,15,510439,5
6,10,108,NA,1
6,23,6,NA,6
1,13,60,NA,1
7,17,4.43,NA,1
5,16,66,3103250,3
5,13,120,NA,NA
4,10,24,NA,3
3,17,12.03,NA,3
3,26,260,25394,1
3,13,NA,NA,NA
6,16,NA,9999999997,3
4,17,7,NA,3
4,13,72,NA,3
4,13,30,NA,3
5,25,18.07,NA,3
6,27,240,NA,3
6,16,12.03,267238,5
7,10,54,NA,6
3,10,10,NA,5
6,10,40,NA,3
2,13,60,NA,3
7,21,133,NA,3
6,10,60,NA,6
3,16,10,51806,3
6,13,NA,NA,1
2,10,48,NA,3
4,10,57,NA,3
2,10,72,NA,3
6,17,12.03,NA,1
5,13,96,NA,1
7,10,110,NA,1
6,10,180,NA,3
6,13,84,NA,1
4,13,162,NA,3
7,17,7,NA,5
6,10,264,NA,6
6,10,120,NA,3
1,10,24,NA,1
6,30,46,NA,1
4,24,27,NA,3
6,10,48,NA,1
6,30,46,NA,1
3,16,8.61,9999999997,5
6,17,37,NA,1
1,10,12,NA,5
2,17,13,NA,3
4,17,10,NA,1
6,16,NA,1272796,1
5,4,24,NA,1
6,10,143,NA,5
7,13,13,NA,5
5,17,6.31,NA,1
7,17,5.52,NA,1
2,13,48,NA,1
6,17,8,NA,5
6,16,NA,8427,5
7,16,36,1801667,6
7,17,1.08,NA,1
5,10,80,NA,5
7,17,3.78,NA,1
4,10,219,NA,1
6,13,30,NA,5
6,17,15,NA,1
6,17,12.03,NA,1
5,13,120,NA,3
6,17,3.29,NA,1
6,17,18,NA,1
4,17,36,NA,1
5,10,84,NA,3
6,17,12.03,NA,1
2,10,72,NA,3
6,10,120,NA,1
4,17,4.2,NA,1
4,13,30,NA,3
4,10,NA,NA,5
2,13,60,NA,3
3,28,NA,NA,6
6,17,46,NA,5
5,17,9,NA,1
7,10,24,NA,5
6,10,108,NA,1
6,17,12.03,NA,3
3,10,100,NA,1
2,16,37,111702,1
5,13,60,NA,3
7,13,36,NA,5
4,24,24,NA,5
6,10,120,NA,5
5,10,0.03,NA,3
1,17,4.17,NA,1
4,10,12.03,NA,3
3,10,100,NA,5
6,10,84,NA,3
6,17,30,NA,1
2,10,72,NA,3
2,26,0.03,2553,3
6,10,36,NA,3
7,17,15,NA,3
5,29,NA,25064,5
6,16,18,NA,NA
4,10,78,NA,5
5,22,470,NA,NA
6,13,18,NA,1
5,13,24,NA,5
7,10,108,NA,1
5,26,78,9999999997,1
4,10,NA,NA,5
1,17,4.49,NA,1
4,28,12.03,NA,3
7,13,48,NA,3
7,10,60,NA,5
7,12,24,NA,1
5,10,34.03,NA,3
6,10,72,NA,3
6,17,0.03,NA,1
6,17,7,NA,1
6,10,135,NA,3
6,17,6.13,NA,1
4,17,42,NA,1
5,17,18,NA,3
4,7,78,9999999997,3
6,17,4.79,NA,3
7,17,6.49,NA,6
6,16,0.03,65000,6
3,17,12.03,NA,1
7,17,19.72,NA,1
7,29,18,1990973,6
6,10,30,NA,6
5,17,6.1,NA,1
7,17,11.3,NA,1
5,13,51,NA,1
3,17,8,NA,3
5,8,0.03,NA,1
6,10,37,NA,5
6,17,6.33,NA,1
7,17,8.95,NA,1
4,17,5.99,NA,1
6,21,42,NA,5
4,17,6.1,NA,1
6,17,0.03,NA,1
6,17,11.72,NA,1
2,10,24,NA,5
5,17,11.79,NA,NA
5,17,9.2,NA,1
6,17,6.82,NA,1
5,17,7.53,NA,1
7,16,NA,243004,5
5,13,30,NA,1
7,10,135,NA,5
6,10,36,NA,5
7,10,108,NA,3
4,10,97,NA,3
6,13,27,NA,3
6,29,15,57672,5
2,17,6,NA,1
6,10,66,NA,5
3,4,120,NA,5
5,17,8,NA,NA
5,10,77,NA,3
3,24,60,NA,3
7,27,469.99,NA,6
4,7,120,NA,5
4,10,135,NA,6
4,10,24,NA,1
5,13,30,NA,3
7,7,78,NA,3
6,12,0.07,NA,5
5,17,96,NA,1
4,10,84,NA,3
5,10,63,NA,3
6,17,8.13,NA,1
6,17,6.23,NA,3
3,27,96,NA,3
6,10,180,NA,3
7,17,6.62,NA,1
5,17,8.26,NA,1
4,13,36,NA,1
6,17,NA,NA,3
5,17,6.1,NA,1
7,17,12.69,NA,1
3,10,87,NA,3
4,10,168,NA,3
5,17,0.03,NA,NA
3,10,120,NA,3
3,13,NA,NA,3
6,17,8,NA,1
4,10,130,NA,1
4,30,NA,NA,NA
4,30,NA,NA,NA
3,16,0.53,9999999997,5
3,13,84,NA,1
4,13,NA,NA,5
5,9,0.03,NA,1
3,30,NA,NA,NA
2,17,40,NA,1
3,27,28,NA,3
2,26,250,439,NA
6,12,27,NA,3
4,10,NA,NA,1
3,13,37,NA,3
5,17,9,NA,1
3,16,18,9999999997,5
7,10,204,NA,3
3,10,18,NA,1
5,21,NA,25000,5
6,21,276,NA,3
4,27,262,NA,5
6,17,0.03,NA,1
3,17,10,NA,5
2,13,18,NA,1
4,17,13.03,NA,1
6,16,39,111071,5
4,4,120,NA,1
7,10,54,NA,3
4,13,48,NA,5
3,16,54,81411,3
3,17,0.03,NA,NA
6,10,120,NA,3
4,10,60,NA,3
1,17,18,NA,1
3,13,30,NA,1
4,10,70,NA,1
7,10,120,NA,3
4,1,10.59,NA,1
6,10,130,NA,1
6,10,151,NA,1
3,13,96,NA,1
3,16,NA,35612,5
3,10,51,NA,3
3,10,75,NA,5
3,10,4,NA,1
