DISTRICT,YEARS,OFFGUIDE,SENTTCAP,LOSS1
20,3,13,96,NA
19,3,10,0.03,NA
81,3,30,NA,NA
70,4,17,5,NA
34,4,10,27,NA
29,6,10,30,NA
47,3,10,66,NA
41,6,10,63,NA
41,6,17,24,NA
49,5,10,132,NA
24,6,10,94,NA
88,5,13,48,NA
79,4,10,6,NA
13,6,22,360,NA
50,2,10,60.03,NA
64,7,7,52,NA
53,5,7,41,NA
50,3,26,96,9999999997
40,3,13,27,NA
84,5,17,3.23,NA
34,5,30,0.03,NA
76,5,16,30,735600
78,4,10,78,NA
84,7,17,1.23,NA
78,2,10,60,NA
84,5,17,2.56,NA
84,6,17,2.39,NA
42,4,17,4.26,NA
73,7,16,NA,159637716
44,4,21,37,837974
84,3,17,5.13,NA
84,1,17,6,NA
84,4,17,2.39,NA
40,4,17,27,NA
90,2,1,42,NA
12,2,16,NA,186210
44,3,10,18,NA
40,6,10,130,NA
40,6,10,469.99,NA
65,6,10,240,NA
31,2,11,4.99,9999999997
79,4,10,60,NA
34,7,16,6,3293707
8,7,16,1,170995
39,1,10,48,NA
34,6,21,38,1000000
65,3,10,84,NA
1,2,16,24,330000
96,3,17,0.03,NA
74,4,10,120,NA
8,5,16,15,989018
1,2,16,24,530000
42,4,13,0.03,NA
41,5,17,21,NA
22,3,16,NA,NA
42,4,17,12.03,NA
42,6,17,24,NA
24,6,10,148,NA
75,3,10,96,NA
22,4,10,136,NA
31,4,16,6,487500
22,6,30,NA,NA
68,3,10,96,NA
70,7,17,15,NA
16,3,10,97,NA
42,4,17,5.3,NA
84,7,16,3,203137
38,3,10,78,NA
41,2,17,12.03,NA
34,3,4,0.39,NA
41,6,10,188,NA
31,2,13,37,NA
41,6,10,168,NA
42,1,16,9,0
70,7,17,5.42,NA
42,3,30,6,NA
47,5,10,51,NA
48,5,10,150,NA
70,5,17,18,NA
84,3,17,5.81,NA
22,6,16,NA,NA
17,4,30,NA,NA
90,2,10,46,NA
41,5,17,15,NA
41,2,17,NA,NA
41,2,17,15,NA
41,2,17,6,NA
22,7,16,2.96,NA
83,3,27,469.99,NA
41,3,17,12,NA
83,3,27,469.99,NA
29,6,10,60,NA
41,3,17,5.03,NA
41,5,27,469.99,NA
41,6,17,24,NA
49,4,10,30,NA
50,3,13,12,NA
41,3,17,24,NA
41,1,10,60,NA
41,5,17,15,NA
72,5,13,37,NA
47,3,10,44,NA
67,4,10,130,NA
15,3,13,12.03,NA
49,5,10,78,NA
30,4,10,108,NA
80,6,10,180,NA
84,7,17,3.09,NA
66,6,21,252,NA
30,5,21,78,1000495
83,4,10,120,NA
15,3,10,NA,NA
12,4,10,50,NA
74,6,25,0.03,NA
30,7,21,276,NA
13,6,10,12.03,NA
83,6,10,180,NA
20,4,10,0.39,NA
51,5,10,78,NA
26,7,27,120,NA
12,7,10,NA,NA
3,7,21,0.03,NA
9,5,13,44.3,NA
83,4,10,46,NA
67,4,10,97,NA
96,4,13,292,1100
43,2,21,120,NA
89,3,16,57,113762
85,6,27,151,NA
23,3,10,72,NA
42,3,10,0.03,NA
79,6,16,NA,9999999997
41,1,17,4.63,NA
85,3,22,470,NA
70,5,17,5.81,NA
40,5,21,24,9999999997
30,5,27,72,NA
55,4,26,262,7595
83,5,15,22,23737
47,6,10,78,NA
23,6,10,92,NA
40,5,16,15,29654
16,5,5,NA,9999999997
42,5,24,24,NA
55,6,10,180,NA
30,7,10,60,NA
15,1,10,18,NA
39,4,10,134,NA
40,6,21,24,9999999997
70,2,17,NA,NA
31,4,17,9,NA
56,5,10,87,NA
70,2,17,5.76,NA
84,4,22,312,NA
84,3,17,4,NA
84,4,17,12.03,NA
16,6,10,108,NA
47,7,7,120,NA
16,4,10,37,NA
42,7,16,32,45140
13,7,7,469.99,NA
66,7,27,470,NA
52,5,10,50,NA
24,4,24,37,NA
42,5,17,6.13,NA
29,4,10,0.03,NA
35,5,29,NA,28863
45,6,27,300,NA
82,3,28,NA,NA
31,5,10,108,NA
84,2,17,4,NA
62,7,16,18,6738290
42,7,17,NA,NA
74,5,9,0.89,NA
30,3,7,200,NA
16,6,10,60,NA
49,3,10,62,NA
62,6,13,57,NA
41,2,17,12.03,NA
49,6,10,200,NA
5,4,13,9,NA
81,5,16,NA,505960
49,4,13,32,NA
39,4,10,50,NA
12,4,10,60,NA
72,7,10,108,NA
29,5,27,470,NA
2,7,10,0.03,NA
65,6,10,142,NA
52,3,4,150,NA
5,2,13,60,NA
39,3,7,188,NA
47,5,13,137,NA
65,5,13,60,NA
39,2,27,470,NA
39,4,10,168,NA
34,2,30,NA,NA
22,7,24,75,NA
65,4,22,384,NA
90,6,1,6,NA
47,7,22,72,NA
34,3,30,NA,NA
30,3,13,92,NA
87,6,17,5.1,NA
87,6,10,84,NA
42,2,17,12.03,NA
42,4,17,8.95,NA
22,6,16,65,993302
72,7,27,70,NA
82,5,10,96,NA
80,6,7,60,0
30,5,13,21.33,NA
42,6,17,12,NA
17,4,6,NA,9999999997
87,2,10,18,NA
42,6,17,5.33,NA
41,5,17,14,NA
30,4,10,46,NA
52,5,13,45,NA
42,5,17,0.03,NA
49,6,13,21,NA
70,4,17,12,NA
42,7,17,10,NA
16,6,10,204,NA
34,4,16,NA,9999999997
75,6,10,9,NA
22,3,13,52,NA
73,6,17,13,NA
3,4,16,6,9999999997
38,3,10,262,NA
56,7,16,NA,22500
63,7,16,12,509600
49,4,10,77,NA
30,6,17,4.66,NA
30,2,10,57,NA
39,5,17,15,NA
30,3,17,5.59,NA
70,4,17,0.03,NA
84,2,13,19.82,NA
42,6,10,0.03,NA
96,7,10,120,NA
22,6,13,27,NA
45,1,13,30,NA
38,4,17,13,NA
41,5,17,18,NA
70,7,10,21,NA
40,5,13,51,NA
29,7,10,144,NA
38,6,10,120,NA
40,7,17,6,NA
41,6,17,13,NA
41,6,17,20,NA
70,6,17,12.59,NA
41,5,17,6.93,NA
20,6,10,0.03,NA
41,5,17,24,NA
73,2,10,12.03,NA
41,4,17,6.44,NA
34,3,13,96,NA
83,3,13,36,NA
37,2,28,30,NA
41,7,17,16,NA
58,2,7,60,NA
25,3,21,26,NA
9,6,16,NA,0
22,6,10,216,NA
58,3,10,120,NA
41,4,10,90,NA
70,6,17,6.92,NA
22,7,10,135,NA
25,4,13,NA,NA
9,6,7,60,NA
32,4,27,360,NA
29,2,16,3,NA
39,4,26,120,5628
33,6,10,85,NA
41,4,17,21,NA
32,4,27,84,NA
41,1,10,100,NA
31,1,13,21,NA
70,7,17,2.79,NA
26,7,16,NA,449177
39,5,13,27,NA
33,3,10,50,NA
26,3,10,200,NA
41,5,17,8,NA
42,4,17,5.03,NA
41,2,10,60,NA
42,5,17,12.03,NA
42,4,10,300,NA
34,4,10,18,NA
45,4,16,41,51822
22,5,16,87,318727
33,4,10,27,NA
45,6,10,60,NA
43,7,8,60,NA
33,6,17,5.76,NA
20,3,10,3.2,NA
83,6,10,68,NA
34,2,26,97,0
67,7,16,0.03,60286
45,6,13,46,NA
34,3,10,12.92,NA
42,3,17,1.89,NA
56,4,10,240,NA
47,6,10,128,NA
20,3,13,72,NA
83,4,4,NA,NA
67,6,10,70,NA
47,1,13,9,NA
30,6,10,135,NA
41,5,17,6,NA
20,6,27,180,NA
31,5,17,0.03,NA
12,6,13,15,NA
6,5,16,NA,5240311
55,6,10,132,NA
49,2,13,87,NA
41,6,17,4.99,NA
41,5,17,8,NA
47,2,13,18,NA
31,7,13,12.03,NA
66,3,7,168,NA
42,5,10,262,NA
13,7,10,8.95,NA
22,4,10,30,NA
22,3,28,30,NA
12,5,10,18,NA
70,3,16,NA,38460
57,3,13,NA,NA
8,3,13,24,NA
51,4,13,120,NA
8,3,4,51.82,NA
81,7,7,120,NA
31,5,17,0.03,NA
81,2,7,0.03,NA
90,5,1,48,NA
62,5,13,26,NA
22,2,13,NA,NA
70,4,17,78,NA
31,6,13,100,NA
22,6,10,96,NA
70,6,17,10,NA
82,7,16,NA,9999999997
90,6,10,63,NA
49,4,10,96,NA
22,5,29,NA,47073
52,3,10,180,NA
52,7,26,160,63
38,3,10,160,NA
62,6,10,144,NA
8,3,13,60,NA
62,4,10,396,NA
31,7,10,24,NA
38,5,10,60,NA
73,6,16,21,57719
56,4,16,36,354400
41,6,17,6.83,NA
73,7,27,240,NA
22,4,10,120,NA
37,3,13,43,NA
52,3,13,NA,NA
37,4,13,30,NA
90,7,4,34,NA
12,5,16,NA,9999999997
8,4,10,0.03,NA
70,4,17,6.16,NA
34,5,10,240,NA
90,7,4,60,NA
67,3,10,83,NA
49,6,10,120,NA
35,6,16,NA,40361
31,3,10,8,NA
39,6,7,195,0
39,6,7,240,NA
39,6,24,37,NA
39,7,16,84,4287143
39,5,10,84,NA
39,3,16,120,766249
47,2,10,70,NA
30,5,10,151,NA
30,7,10,30,NA
70,3,17,7,NA
70,7,17,14,NA
70,6,17,14,NA
70,6,17,9,NA
70,5,17,3.65,NA
70,5,17,18,NA
87,3,13,24,NA
87,5,10,188,NA
31,4,10,120,NA
74,6,17,16,NA
87,6,17,8,NA
47,3,16,36,9999999997
31,7,16,24,95697
16,3,13,84,NA
89,5,25,4,NA
22,6,10,72,NA
4,4,10,60,NA
38,5,10,178,NA
34,5,10,92,NA
70,4,30,6.01,NA
30,1,17,7.99,NA
66,4,13,36,NA
42,4,13,21,NA
30,5,17,10,NA
42,3,10,24,NA
22,3,30,NA,NA
42,3,17,30,NA
70,4,17,1.26,NA
96,6,10,120,NA
30,5,16,54,398126
42,4,17,1.82,NA
30,6,10,192,NA
52,5,13,NA,NA
70,6,17,18,NA
16,4,27,216,NA
70,5,17,10,NA
71,6,10,40,NA
20,5,10,60,NA
43,6,10,96,NA
70,6,17,5.23,NA
70,7,17,12.03,NA
8,4,16,30,438605
73,4,10,41,NA
73,7,16,0.03,43965
20,4,10,156,NA
20,3,10,0.03,NA
70,7,17,6,NA
47,3,13,20,NA
70,5,17,6,NA
22,NA,23,NA,NA
30,3,17,0.36,NA
82,3,10,84,NA
49,6,10,84,NA
20,6,10,4.76,NA
89,5,11,NA,2332
42,3,10,36,NA
89,5,27,168,NA
30,2,17,NA,NA
40,2,13,43,NA
19,5,13,60,NA
30,6,17,2.56,NA
70,3,17,7,NA
42,2,10,60,NA
17,2,10,37,NA
42,2,17,6.1,NA
39,6,27,292,NA
56,3,7,96,NA
70,4,17,27,NA
42,6,17,0.03,NA
31,5,17,1.07,NA
42,4,17,4.1,NA
70,6,17,6,NA
51,7,18,324,NA
74,6,17,24,NA
13,4,10,60,NA
70,4,17,10,NA
70,6,27,390,NA
70,6,17,21,NA
84,4,17,0.46,NA
47,4,13,57,NA
49,5,13,57,NA
51,7,18,144,NA
20,4,10,72,NA
65,6,13,34,NA
82,6,13,30,NA
84,3,17,8,NA
69,7,7,36,0
42,6,17,5.53,NA
17,3,16,NA,9999999997
84,5,1,7,NA
84,3,17,12.03,NA
83,4,10,120,NA
42,5,17,5.53,NA
84,4,17,46,NA
84,7,17,37,NA
84,4,17,2.92,NA
70,6,17,NA,NA
66,7,26,71,8815
64,6,13,120,NA
63,7,10,84,NA
66,6,10,220,NA
2,6,1,8,NA
4,4,10,46,NA
63,3,13,110,NA
41,2,17,3.71,NA
13,4,10,32,NA
30,3,28,37,NA
84,6,17,3.65,NA
70,1,17,4,NA
30,6,10,46,402799
70,6,13,25.95,NA
81,4,16,12.03,129194
43,6,10,130,NA
70,2,17,NA,NA
30,4,16,NA,3000
70,7,17,6,NA
63,4,13,72,NA
84,3,17,24,NA
84,3,17,12.03,NA
84,3,17,3.25,NA
30,3,10,63,NA
47,5,13,24,NA
84,6,17,3.55,NA
70,6,17,8,NA
47,4,16,0.03,9999999997
70,6,17,4.4,NA
41,3,17,1.35,NA
84,6,17,21,NA
4,4,10,0.03,NA
70,1,17,NA,NA
47,4,21,46,NA
14,6,29,NA,358726
41,4,10,5.68,NA
48,7,16,NA,22023
52,6,16,0.03,25
89,2,13,36,NA
30,3,9,NA,NA
26,3,13,114,NA
41,3,16,1.97,NA
6,6,17,0.03,NA
22,3,16,12.03,34192
52,3,13,36,NA
12,3,10,70,NA
42,4,17,NA,NA
26,6,13,70,NA
70,6,17,9,NA
44,7,13,12.03,NA
9,1,26,75,9999999997
2,2,13,34,NA
47,2,10,72,NA
70,3,17,4.17,NA
47,7,16,12.03,9999999997
83,4,1,18,NA
84,7,10,0.03,NA
47,3,10,110,NA
84,5,17,12.03,NA
20,5,13,51,NA
70,6,17,3.55,NA
70,6,17,40,NA
26,4,13,108,NA
84,3,17,10,NA
84,6,17,10,NA
84,5,17,27,NA
84,4,17,3.78,NA
20,4,10,120,NA
45,2,13,25.03,NA
83,4,10,90,NA
48,5,10,60,NA
70,6,17,5.95,NA
84,6,17,3.58,NA
39,5,10,65,NA
70,4,17,24,NA
30,6,27,420,NA
2,6,1,9.82,NA
23,7,27,151,NA
14,4,13,11.26,NA
71,5,10,0.03,NA
47,4,13,146,NA
54,6,10,200,NA
14,5,10,40,NA
31,6,12,84,NA
47,6,16,NA,85193
42,6,16,NA,NA
72,5,16,72,9999999997
70,4,17,12.03,NA
39,5,10,50,NA
39,3,13,78,NA
13,2,13,0.03,NA
13,5,16,36,926486
39,5,16,6,9999999997
70,3,17,5.56,NA
36,5,27,360,NA
36,7,25,30,NA
36,4,27,168,NA
91,2,10,NA,NA
44,5,16,NA,NA
42,4,17,12.03,NA
36,4,13,49,NA
42,6,17,NA,NA
39,2,13,53,NA
42,4,17,1.85,NA
39,3,10,87,NA
39,6,10,140,NA
74,2,17,10,NA
80,4,28,36,NA
80,4,26,327,9999999997
74,4,17,33,NA
65,6,10,18,NA
48,6,16,4,195900
41,2,10,36,NA
74,6,18,NA,NA
90,2,7,42,NA
41,4,10,25,NA
48,5,10,84,NA
52,6,16,NA,358387
52,4,13,27,NA
74,3,10,27,NA
88,1,13,60,NA
95,5,10,120,NA
74,3,10,21,NA
88,7,10,77,NA
32,7,16,102,800571
74,2,17,12.03,NA
72,3,10,121,NA
88,6,10,46,NA
84,2,17,40,NA
70,7,29,24,3696786
31,5,10,240,NA
43,6,10,12,NA
1,7,12,NA,4607025
78,4,10,0.03,NA
42,3,22,120,NA
17,2,10,151,NA
41,3,26,111,18836
31,4,10,84,NA
27,5,8,NA,NA
48,4,13,57,NA
27,2,8,NA,NA
36,3,7,84,NA
27,2,13,33,NA
74,4,10,63,NA
74,4,17,0.03,NA
9,7,10,84,NA
32,4,5,NA,9155
42,6,22,60,NA
27,4,8,NA,NA
74,4,17,15,NA
7,7,29,NA,374311
31,6,29,48,3443408
74,7,10,30,NA
56,7,27,420,NA
38,6,13,52,NA
74,6,10,48,NA
74,4,10,18,NA
38,7,10,51,NA
42,3,17,NA,NA
74,1,10,18,NA
52,6,17,30,NA
88,6,27,210,NA
70,4,10,30,NA
7,5,10,60,NA
8,2,13,15,NA
74,3,10,36,NA
42,5,17,NA,NA
42,6,17,0.03,NA
42,6,17,3.92,NA
72,3,10,63,NA
88,5,10,84,NA
42,2,17,0.03,NA
47,4,10,63,NA
43,7,26,151,1065
7,3,10,81,NA
42,3,10,30,NA
74,7,10,96,NA
7,7,10,120,NA
31,6,29,8,330579
70,5,17,2.49,NA
42,6,10,70,NA
41,3,26,234,800
17,4,13,18,NA
42,4,17,12,NA
53,6,10,150,NA
42,6,17,10,NA
48,4,13,60,NA
31,6,29,28,351196
42,4,17,24,NA
72,3,10,87,NA
28,5,13,60,NA
48,4,10,120,NA
28,5,13,84,NA
31,4,10,0.03,NA
41,6,13,30,NA
32,4,17,0.03,NA
39,6,17,24,NA
70,1,17,NA,NA
47,6,16,18,3021431
26,3,13,42,NA
31,3,17,12.03,NA
26,6,13,NA,NA
26,7,16,24,6610176
57,3,26,100,9999999997
70,6,17,4.99,NA
53,2,10,98,NA
70,2,17,20,NA
70,6,17,18,NA
24,5,12,23.92,NA
42,3,17,0.03,NA
70,6,17,39,NA
42,6,17,3.66,NA
24,2,13,NA,NA
48,5,29,6,939476
41,6,17,63,NA
48,4,10,60,NA
9,5,10,204,NA
31,4,5,0.03,9999999997
70,6,10,144,NA
48,3,13,42,NA
30,4,21,70,21694205
51,3,4,120,NA
38,4,13,15,NA
31,3,13,97,NA
41,5,17,24,NA
32,3,10,120,NA
52,7,16,NA,529720
15,6,10,39.49,NA
30,6,21,63,21694205
16,4,10,84,NA
88,2,17,24,NA
42,5,17,4.85,NA
87,3,17,6.53,NA
42,2,10,24,NA
41,3,17,30,NA
31,4,26,78,2000
31,4,13,48,NA
42,3,17,5.13,NA
9,6,10,36,NA
78,6,16,NA,0
44,6,18,3.1,NA
40,6,10,90,NA
29,7,7,60,NA
12,4,13,37,NA
31,7,17,0.03,NA
67,2,10,135,NA
33,4,13,35,NA
44,7,10,72,NA
17,5,10,144,NA
62,1,13,57,NA
31,3,1,37,NA
42,6,17,0.03,NA
39,4,13,42,NA
7,7,29,1.97,1210726
42,5,17,NA,NA
70,6,17,8,NA
41,6,17,24,NA
17,2,26,144,9999999997
52,4,21,30,NA
17,3,13,19.85,NA
15,2,7,72,NA
22,7,10,48,NA
42,6,17,21,NA
26,3,13,12.39,NA
39,4,13,40,NA
67,4,27,120,NA
3,6,16,24,9999999997
6,7,24,6.76,NA
42,6,28,NA,NA
42,1,10,46,NA
33,6,10,10,NA
67,3,17,9.23,NA
17,4,10,84,NA
42,4,17,2.43,NA
84,7,10,60,NA
70,2,10,14,NA
38,6,10,18,NA
13,3,10,63,NA
67,5,17,3,NA
70,5,10,13.03,NA
67,2,13,12.03,NA
31,5,17,24,NA
42,3,17,23,NA
42,6,17,6,NA
44,6,13,180,NA
42,4,17,NA,NA
48,3,10,24,NA
29,5,17,0.03,NA
41,4,16,1.12,NA
41,5,10,NA,NA
74,3,10,84,NA
70,7,27,188,NA
41,7,17,2.66,NA
22,2,4,70,NA
8,5,10,120,NA
74,3,10,30,NA
48,5,13,24,NA
74,2,10,18,NA
1,6,16,48,64284
52,4,16,45,376000
22,4,26,124,9999999997
45,4,13,0.03,NA
70,7,17,14,NA
67,5,17,15,NA
41,5,17,1.18,NA
17,3,19,90,NA
31,3,13,60,NA
31,6,16,57,9999999997
31,4,13,70,NA
74,2,10,42,NA
67,6,25,12,NA
74,1,10,18,NA
74,3,21,0.03,9999999997
41,6,17,1.62,NA
70,5,17,12.03,NA
41,2,17,0.03,NA
67,4,10,225,NA
70,5,22,470,NA
42,2,26,90,9999999997
49,2,10,46,NA
67,4,17,24,NA
74,1,17,26,NA
40,5,10,70,NA
41,6,17,18,NA
74,5,10,32,NA
67,4,10,322,NA
4,6,13,6,NA
73,3,17,12.03,NA
90,7,30,4,NA
47,7,11,NA,10000
87,5,10,96,NA
42,3,27,200,NA
70,4,17,0.03,NA
30,4,13,18,NA
70,6,17,3.15,NA
20,5,10,204,NA
40,6,10,120,NA
74,3,27,72,NA
74,2,10,8,NA
9,4,17,2.3,NA
70,4,17,5,NA
70,1,17,NA,NA
36,4,13,51,NA
70,5,17,12.03,NA
70,6,17,22,NA
70,5,17,0.03,NA
71,7,13,12.03,NA
42,3,17,5.33,NA
71,4,13,0.03,NA
70,6,17,6.64,NA
70,4,13,NA,NA
57,5,10,78,NA
70,1,17,NA,NA
70,4,17,27,NA
1,7,10,72,NA
42,2,10,36,NA
42,6,13,24,NA
70,2,17,0.03,NA
19,7,16,27,134900
42,7,10,36,NA
74,3,17,3,NA
42,5,17,18,NA
42,3,17,12.03,NA
42,4,17,12.03,NA
70,6,17,15,NA
42,6,17,8,NA
19,4,10,292,NA
42,3,10,37,NA
42,4,10,135,NA
74,4,10,12.03,NA
84,3,13,60,NA
42,7,22,470,NA
31,2,13,15,NA
4,3,10,93,NA
1,7,21,NA,NA
4,3,10,120,NA
84,4,10,60,NA
84,3,13,84,NA
70,5,17,0.03,NA
12,3,13,63,NA
1,7,12,NA,2974105
84,4,13,57,NA
70,5,1,0.03,NA
39,6,17,18,NA
8,3,21,57,9999999997
1,7,16,31,1423385
87,4,16,NA,NA
66,6,10,90,NA
17,6,10,83,NA
50,1,30,0.16,NA
31,6,10,210,NA
66,5,7,120,NA
88,6,10,24,NA
41,4,17,50,NA
66,6,13,66,NA
33,2,30,NA,NA
90,4,13,10.36,NA
66,3,13,48,NA
36,2,10,142,NA
50,1,30,0.16,NA
42,4,13,76,NA
66,5,10,60.03,NA
66,6,10,72,NA
66,4,13,120,NA
66,4,13,144,NA
50,1,30,0.16,NA
4,6,17,NA,NA
66,4,13,108,NA
74,4,10,63,NA
74,5,10,108,NA
42,6,22,470,NA
74,5,23,240,NA
74,6,10,126,NA
41,6,17,6,NA
14,2,13,NA,NA
66,3,13,204,NA
22,6,16,31,9999999997
74,5,10,210,NA
14,4,10,35,NA
45,6,16,29,2630581
41,6,17,30,NA
66,3,26,204,260
74,1,17,30,NA
44,7,29,27,1124620
22,5,16,58,1773076
66,4,13,48,NA
70,5,17,6,NA
14,5,10,70,NA
41,6,17,64,NA
22,5,16,48,1744338
66,5,10,180,NA
14,4,10,87,NA
66,3,10,120,NA
71,7,16,4,137000
24,3,13,NA,NA
41,3,13,24,NA
22,3,16,132,2359029
14,6,14,NA,NA
8,4,10,0.03,NA
88,4,10,30,NA
70,2,16,24,253406
66,1,13,18,NA
78,3,16,NA,36278
40,5,10,0.03,NA
66,5,13,87,NA
32,6,13,85,NA
15,7,16,4,9999999997
39,7,13,37,NA
50,6,21,78,NA
66,7,13,96,NA
66,6,10,108,NA
66,6,13,24,NA
14,5,17,0.03,NA
15,5,10,24.43,NA
66,3,10,188,NA
84,4,26,84,0
17,2,13,37,NA
88,3,10,44,NA
14,6,10,60,NA
14,7,26,87,9999999997
43,6,10,69,NA
74,3,4,11.95,NA
43,3,10,185,NA
22,3,16,21,235908
42,3,17,10,NA
82,6,13,60,NA
14,4,10,60,NA
66,2,13,55,NA
66,7,13,45,NA
42,6,17,1.82,NA
74,3,17,0.13,NA
66,4,7,180,NA
14,2,13,12.03,NA
14,6,10,60,NA
43,7,29,0.99,275504
39,3,1,27,NA
14,3,10,72,NA
45,4,5,0.03,342424
74,2,10,37,NA
74,6,21,80,NA
14,5,13,33,NA
74,4,10,12.03,NA
14,4,13,60,NA
42,2,17,2.99,NA
74,2,17,10,NA
39,2,10,36,NA
42,5,17,2.69,NA
42,4,17,5.26,NA
74,7,17,6,NA
74,7,10,12.03,NA
72,4,27,120,NA
74,1,17,0.03,NA
42,5,17,5.46,NA
31,2,10,120,9174
42,3,17,2.13,NA
42,3,17,2.92,NA
42,6,17,3.16,NA
40,5,10,63,NA
74,7,17,6,NA
30,6,27,469.99,NA
42,5,17,2.79,NA
34,7,16,NA,595
31,3,4,120,NA
40,5,10,14,NA
70,4,17,10,NA
53,3,13,101,NA
87,5,10,192,NA
62,7,10,190,NA
19,5,17,13,NA
22,7,30,NA,NA
74,6,10,60,NA
62,2,4,57,NA
87,2,10,90,NA
42,6,16,2.16,9999999997
42,5,17,12.03,NA
19,2,10,38,NA
13,7,10,120,NA
87,6,13,84,NA
87,3,10,84,NA
66,7,24,18,NA
50,2,13,40,NA
26,6,10,216,NA
62,7,13,37,NA
31,4,10,42,NA
70,7,17,8,NA
12,7,28,14,NA
87,4,10,192,NA
41,7,17,21,NA
87,5,10,15,NA
22,6,16,84,2266209
74,6,10,30,NA
9,6,13,46,NA
63,6,10,240,NA
43,6,10,190,NA
56,6,10,168,NA
12,6,26,115,600
40,3,10,210,NA
63,3,13,60,NA
57,7,29,NA,497035
63,3,10,240,NA
41,3,17,24,NA
72,6,16,75,159263
31,2,16,24.03,51929
70,3,17,3.82,NA
53,3,13,96,NA
26,5,10,121,NA
78,2,10,60,NA
86,5,30,180,NA
70,4,17,12.03,NA
4,4,16,10,66824
9,3,13,41,NA
70,6,17,13.03,NA
70,4,17,2.85,NA
63,5,13,46,NA
72,4,10,23.69,NA
24,6,10,70,NA
31,7,10,240,NA
19,5,10,70,NA
4,6,22,149,NA
35,6,10,98,NA
42,6,17,15,NA
84,5,17,12.03,NA
71,3,13,18,NA
16,3,4,120,NA
84,4,17,6,NA
65,5,10,60,NA
42,5,17,16,NA
84,3,17,4.82,NA
1,4,10,12,NA
15,6,10,120,NA
31,3,16,30,1500
84,4,17,12.03,NA
71,3,13,12.03,NA
65,5,13,27,NA
19,5,10,120,NA
66,5,29,NA,175049
42,4,17,5.66,NA
19,6,17,18,NA
41,4,17,30,NA
41,6,17,37,NA
87,4,16,5.99,67200
30,4,17,6.82,NA
30,2,17,6.49,NA
0,4,27,60,NA
30,4,17,4.16,NA
14,6,10,24,NA
14,7,21,NA,NA
70,6,17,4.93,NA
42,6,17,12.03,NA
84,2,10,0.33,NA
80,7,6,NA,9999999997
70,7,17,2.36,NA
84,2,1,5.26,NA
31,5,16,5,5050
45,6,29,NA,9999999997
42,2,1,12,NA
42,2,23,42,NA
87,7,10,54,NA
80,4,13,6.85,NA
70,5,17,4.03,NA
70,6,17,18,NA
42,7,17,12,NA
14,4,7,60,NA
42,5,17,12.03,NA
42,3,17,4.66,NA
1,5,13,70,NA
87,7,5,24,303895
43,7,10,55,NA
14,4,10,17.72,NA
88,2,13,33,NA
70,4,17,NA,NA
54,6,13,57,NA
54,3,13,110,NA
30,7,16,NA,70196
30,2,27,97,NA
64,3,13,25,NA
47,3,13,100,NA
42,2,17,0.03,NA
41,4,17,18,NA
30,6,10,121,NA
42,5,17,NA,NA
1,2,28,42,NA
63,2,7,97,NA
74,6,27,180,NA
42,7,17,NA,NA
8,7,16,NA,9999999997
62,5,10,105,NA
42,4,17,NA,NA
62,6,13,78,NA
63,7,10,120,NA
14,6,26,60,8021
42,5,19,372,NA
2,4,16,NA,66114
31,6,21,27,3800000
63,5,10,300,NA
75,6,10,58,NA
65,2,16,9,49769
41,5,10,24,NA
12,4,10,0.03,NA
87,6,10,84,NA
1,5,10,40,NA
39,5,17,6,NA
83,7,16,0.03,127100
17,5,13,33,NA
42,3,13,12.03,NA
62,6,13,57,NA
39,5,7,240,NA
42,6,17,0.03,NA
62,3,13,120,NA
63,4,10,144,NA
42,7,10,120,NA
41,5,10,132,NA
90,3,7,30,NA
41,5,17,4.43,NA
83,5,10,48,NA
63,5,10,240,NA
63,7,7,260,NA
22,2,7,84,NA
57,6,13,90,NA
9,5,10,98,NA
88,4,1,6,NA
16,3,21,1.97,NA
41,1,17,4.72,NA
70,4,17,24,NA
84,5,17,0.33,NA
63,5,10,300,NA
16,3,21,0.99,NA
5,6,29,NA,92093
63,5,13,96,NA
20,3,10,36,NA
15,4,16,NA,9999999997
15,6,16,NA,121677
42,5,10,235,NA
