DISTRICT,YEARS,OFFGUIDE,SENTTCAP,LOSS1
84,4,3,60,NA
42,4,17,10,NA
62,4,10,46,NA
85,3,4,24,NA
35,2,26,84,9999999997
42,4,17,NA,NA
58,5,21,102,NA
35,7,13,20,NA
51,5,10,24,NA
20,4,10,0.03,NA
84,6,20,70,NA
12,4,10,51,NA
84,6,10,100,NA
41,1,10,72,NA
12,5,13,70,NA
31,3,16,4,0
30,6,10,210,NA
51,4,10,168,NA
41,6,17,8,NA
41,6,17,12.03,NA
22,3,26,168,6215
51,5,10,12.03,NA
31,7,16,42,4200585
43,6,10,30,NA
20,4,13,60,NA
12,6,13,36,NA
35,3,13,96,NA
36,3,13,63,NA
41,3,17,8,NA
41,5,10,65,NA
14,6,17,2.59,NA
22,2,30,NA,NA
2,7,10,72,NA
41,5,17,4.95,NA
39,2,13,27,NA
22,1,30,NA,NA
96,6,13,15,NA
39,1,10,36,NA
1,5,10,120,NA
22,2,10,72,NA
47,5,13,63,NA
41,2,17,9.33,NA
41,5,17,15,NA
42,4,17,NA,NA
39,3,17,0.03,NA
17,3,7,20,NA
32,2,17,7.46,NA
56,4,10,228,NA
84,6,17,16,NA
41,5,17,2.92,NA
17,3,9,NA,NA
71,6,29,12.03,183303
19,5,13,60,NA
48,5,16,NA,94475
80,4,15,5.33,9999999997
41,4,10,60,NA
22,4,1,27,NA
48,3,10,23,NA
17,6,9,NA,NA
39,5,13,78,NA
22,5,10,120,NA
67,5,10,76,NA
10,4,10,18,NA
74,3,10,43,NA
8,5,10,86,NA
82,6,10,7.49,NA
41,5,10,36,NA
80,2,13,25,NA
41,3,17,22,NA
41,3,4,41,NA
74,3,17,0.03,NA
46,4,10,158,NA
41,6,10,60,NA
41,7,17,24,NA
12,6,10,84,NA
84,7,17,2.92,NA
70,3,17,12.03,NA
42,6,10,360,NA
39,4,13,72,NA
43,6,10,195,NA
42,5,13,51,NA
74,6,10,10.38,NA
8,4,16,9,583887
41,3,17,30,NA
41,6,17,32,NA
42,7,10,210,NA
46,4,10,64,NA
42,3,10,172,NA
41,5,17,15,NA
8,7,13,24,NA
27,7,10,72,NA
42,6,10,60,NA
29,4,13,180,NA
41,4,17,4,NA
46,3,10,41,NA
41,4,17,NA,NA
43,3,10,84,NA
46,4,10,52,NA
31,4,17,10,NA
63,3,13,NA,NA
31,7,17,5,NA
31,5,13,105,NA
39,5,16,37,22516
87,7,30,NA,NA
27,7,30,NA,NA
56,6,7,96,NA
5,4,10,87,NA
31,5,13,92,NA
74,7,17,25,NA
39,3,13,41,NA
70,7,17,12.03,NA
84,6,10,51,NA
52,3,27,60,NA
41,6,17,41,NA
27,2,13,42,NA
46,4,10,136,NA
45,3,13,78,NA
74,5,17,0.03,NA
64,7,26,194,200
74,2,17,13.03,NA
49,2,13,40,NA
74,1,17,16,NA
52,3,13,60,NA
49,5,10,151,NA
72,5,16,0.03,10903
90,5,13,60,NA
42,4,13,60,NA
77,5,24,18,NA
41,6,17,12,NA
77,2,13,0.1,NA
65,6,10,84,NA
41,4,17,27,NA
42,4,17,12.03,NA
31,6,17,24,NA
31,7,16,55,2239187
41,1,17,6,NA
74,2,10,21,NA
74,4,10,63,NA
42,4,17,16,NA
30,4,10,70,NA
90,2,10,53,NA
35,4,13,106,NA
30,4,10,0.03,NA
74,5,17,12.03,NA
46,3,10,90,NA
80,6,10,4,NA
90,2,10,96,NA
30,6,10,24,NA
49,7,10,120,NA
39,6,10,235,NA
70,3,1,7.85,NA
66,5,10,210,NA
30,5,16,18,1573265
85,5,17,2.14,NA
47,6,10,48,NA
47,5,16,24,NA
49,2,13,20,NA
54,6,10,60,NA
49,7,16,33,665600
70,7,17,3.22,NA
2,3,16,9.62,12506
70,7,17,NA,NA
31,7,16,14,284160
70,4,17,6,NA
49,6,13,114,NA
49,5,10,54,NA
49,6,13,27,NA
46,3,19,48,NA
43,4,22,168,NA
65,6,16,30,7520779
8,5,27,180,NA
62,5,13,57,NA
58,5,13,46,NA
41,5,17,12,NA
30,7,16,NA,75502
42,6,17,4.13,NA
70,4,17,3.91,NA
42,6,17,0.03,NA
30,2,13,NA,NA
39,6,10,300,NA
65,2,27,60,NA
47,4,13,36,NA
47,5,10,84,NA
66,4,10,211,NA
42,3,4,37,NA
70,3,17,4.13,NA
42,3,17,6.23,NA
55,1,26,100,1965
2,6,7,132,NA
54,4,27,120,NA
48,6,18,18,NA
71,2,13,4.03,NA
30,5,5,9,1573265
42,3,17,8,NA
47,7,21,41,53290
81,7,10,96,NA
41,1,17,3.72,NA
54,3,13,46,NA
14,6,10,12.03,NA
53,4,13,0.03,NA
39,6,10,83,NA
39,5,10,120,NA
61,5,10,87,NA
47,3,10,NA,NA
3,4,7,NA,NA
58,4,13,24,NA
14,7,10,120,NA
39,7,10,40,NA
16,5,10,114,NA
58,6,10,21,NA
48,4,7,60,NA
54,5,27,120,NA
42,2,10,13.23,NA
48,5,10,24,NA
41,3,26,159,4900
41,5,10,78,NA
73,6,16,15,9999999997
47,3,13,37,NA
46,5,10,46,NA
56,4,13,22,NA
17,4,10,144,NA
67,6,28,18,NA
41,4,17,NA,NA
70,4,9,NA,NA
73,5,10,60,NA
41,6,17,6,NA
41,6,17,24,NA
41,6,10,120,NA
41,5,10,120,NA
70,2,17,37,NA
39,6,10,36,NA
19,6,17,4,NA
70,2,17,3,NA
40,7,10,57,NA
74,2,17,0.03,NA
41,5,17,24,NA
42,4,17,33,NA
42,2,17,28,NA
83,4,9,0.03,NA
42,5,10,75,NA
8,4,10,156,NA
41,4,10,92,NA
79,5,13,18,NA
41,7,10,60,NA
53,5,10,144,NA
41,6,10,120,NA
1,6,29,12.03,499958
31,6,10,82,NA
52,3,26,42,1000
66,5,10,60,NA
29,4,10,120,NA
22,4,17,18,NA
62,3,10,31,NA
42,6,17,4.59,NA
79,3,13,60,NA
22,5,13,100,NA
8,4,13,24,NA
36,3,13,48,NA
8,2,26,14,2000
8,5,10,156,NA
64,6,10,120,NA
4,4,10,23.3,NA
32,4,21,29.69,352830
22,6,16,30,403549
35,6,27,300,NA
46,7,10,46,NA
20,4,10,46,NA
73,7,21,NA,596000
87,6,10,180,NA
15,6,10,NA,NA
15,5,10,0.03,NA
73,2,26,60,1660
42,3,13,46,NA
42,4,17,24,NA
29,5,10,60,NA
12,3,13,37,NA
61,6,10,100,NA
45,6,10,62,NA
45,5,13,30,NA
41,2,10,57,NA
42,4,17,8,NA
19,2,22,168,NA
70,7,17,18,NA
7,6,10,0.03,NA
74,4,10,24,NA
14,3,10,180,NA
17,6,16,65,294421
16,3,26,72,0
70,6,17,6,NA
31,3,17,0.03,NA
74,6,17,4.83,NA
70,6,17,18,NA
74,6,16,0.03,9700
41,3,17,12.03,NA
41,6,17,15,NA
65,3,16,9,284000
70,4,17,8,NA
7,7,22,469.99,NA
41,6,17,18,NA
70,6,17,21,NA
5,2,13,66,NA
14,5,17,0.03,NA
22,7,16,120,144931554
14,7,24,21,NA
70,4,17,12.03,NA
70,4,17,3.38,NA
70,5,17,18,NA
70,2,23,16,NA
11,3,17,2.53,NA
90,4,13,32,NA
41,4,17,3.84,NA
49,5,10,264,NA
50,2,16,18,221621
8,5,10,18.82,NA
31,2,16,15,21500
65,7,10,108,NA
17,6,13,78,NA
45,4,7,108,NA
46,6,10,120,NA
42,1,30,0.03,NA
74,1,17,0.03,NA
36,6,11,NA,9999999997
65,3,10,144,NA
80,6,17,10,NA
50,5,13,37,NA
14,2,10,84,NA
61,7,16,30,2049809
41,6,17,3.32,NA
41,5,17,12.03,NA
41,6,17,24,NA
70,5,10,17,NA
42,3,30,0.03,NA
42,4,10,46,NA
41,6,17,10,NA
14,4,10,75,NA
41,6,23,8.54,NA
42,6,17,10,NA
51,4,13,96,NA
62,6,13,30,NA
32,5,16,54,252486
62,2,13,103,NA
65,5,27,216,NA
41,6,10,120,NA
70,6,17,0.03,NA
51,2,10,42,NA
56,2,10,70,NA
47,6,13,57,NA
48,6,10,0.03,NA
41,3,17,6,NA
70,6,17,0.03,NA
41,1,17,4.07,NA
67,6,10,135,NA
74,3,17,0.36,NA
41,4,17,43,NA
87,3,10,24,NA
63,3,10,51,NA
87,4,16,80,6796006
72,7,10,NA,NA
16,3,26,12.03,9999999997
58,5,10,108,NA
70,6,17,0.03,NA
70,1,30,NA,NA
47,6,10,62,NA
30,5,17,5.72,NA
8,4,10,60,NA
12,4,10,63,NA
49,3,10,48,NA
66,5,13,46,NA
16,2,22,240,NA
39,5,13,87,NA
52,2,13,37,NA
32,2,10,48,NA
66,7,7,72,NA
60,6,13,46,NA
8,3,21,0.03,9999999997
47,6,10,57,NA
87,4,17,3,NA
42,4,30,NA,NA
31,7,16,2,9999999997
74,7,17,10,NA
87,4,10,151,NA
39,2,13,37,NA
39,4,10,264,NA
41,2,19,120,NA
74,1,10,18,NA
49,5,10,146,NA
74,6,21,188,9999999997
66,3,7,120,NA
67,3,10,120,NA
90,6,6,0.99,9999999997
51,5,10,41.23,NA
47,5,7,144,NA
74,2,16,1.28,0
16,6,13,45.59,NA
22,7,16,41,1712522
9,3,10,150,NA
74,2,10,16,NA
39,1,13,57,NA
36,6,13,18,NA
65,2,10,60,NA
51,1,10,72,NA
90,4,6,3.94,9999999997
16,6,16,NA,9999999997
13,2,13,24,NA
74,5,17,26,NA
42,4,17,2.23,NA
14,4,28,15,NA
42,4,10,NA,NA
7,2,26,110,400
42,3,10,100,NA
66,4,10,144,NA
66,2,10,87,NA
74,4,17,0.03,NA
40,6,7,108,NA
66,5,21,120,NA
12,3,10,120,NA
65,4,13,46,NA
66,5,21,96,NA
17,5,10,121,NA
30,6,5,15,114747
16,7,11,NA,NA
41,3,10,160,NA
89,6,24,30,NA
13,7,10,0.03,NA
66,6,10,180,NA
89,4,4,30,NA
13,7,10,84,NA
87,4,13,14,NA
84,4,17,6,NA
47,5,16,0.03,62482
83,5,27,180,NA
70,4,17,15,NA
6,4,10,135,NA
41,5,17,4.5,NA
83,6,19,204,NA
23,6,10,156,NA
41,5,17,12.03,NA
70,5,17,3.78,NA
89,6,13,33,NA
61,7,13,63,NA
30,3,10,72,NA
41,6,17,15,NA
30,6,10,66,NA
23,6,10,87,NA
61,6,9,34.16,NA
33,5,10,48,NA
61,3,10,228,NA
84,7,17,5.42,NA
87,4,17,12,NA
68,3,27,33,NA
68,1,10,24,NA
84,2,17,0.2,NA
68,5,13,20,NA
79,6,10,41,NA
84,2,17,0.62,NA
68,3,10,0.03,NA
49,4,13,84,NA
41,5,17,12.03,NA
82,1,21,70,NA
41,3,17,5,NA
83,4,13,42,NA
71,5,10,0.03,NA
82,6,10,140,NA
83,6,10,210,NA
83,2,16,10,34957
29,1,17,16,NA
45,6,30,0.1,NA
84,3,10,2.16,NA
41,4,17,6,NA
70,6,17,10,NA
41,5,17,1.12,NA
83,2,16,NA,171267
75,6,10,72,NA
46,4,10,276,NA
30,7,16,18,654502
46,7,29,38,1636228
30,5,10,54,NA
16,3,13,41,NA
45,4,10,63,NA
41,6,16,18,9999999997
41,5,17,4,NA
34,3,10,92,NA
34,6,10,87,NA
8,3,10,63,NA
47,4,10,24,NA
8,3,10,132,NA
16,3,21,0.03,7900
68,7,27,151,NA
84,3,17,NA,NA
31,2,13,63,NA
30,6,22,470,NA
89,4,10,39,NA
41,6,17,12.03,NA
31,4,10,240,NA
2,6,7,120,0
34,6,7,102,NA
35,4,16,NA,NA
35,6,16,NA,NA
73,7,21,70,280000
81,7,10,120,NA
70,6,17,3.89,NA
68,7,10,58,NA
70,3,17,0.03,NA
30,6,10,97,NA
70,6,17,12.03,NA
41,3,17,15,NA
68,5,7,84,NA
30,6,22,470,NA
68,3,21,94,NA
84,2,10,0.33,NA
73,5,16,37,5771304
42,7,17,30,NA
68,3,10,84,NA
74,5,10,0.03,NA
47,6,26,48,35
15,3,7,60,NA
74,5,17,33,NA
65,6,12,48,8640000
84,2,17,1.87,NA
31,6,17,6,NA
56,5,13,NA,NA
41,4,17,21,NA
8,7,21,0.03,285767
8,5,10,188,NA
46,3,10,120,NA
60,7,13,27,NA
4,6,21,NA,9999999997
32,5,16,15,510439
60,6,10,108,NA
41,6,23,6,NA
32,1,13,60,NA
84,7,17,4.43,NA
56,5,16,66,3103250
15,5,13,120,NA
88,4,10,24,NA
32,3,17,12.03,NA
39,3,26,260,25394
15,3,13,NA,NA
81,6,16,NA,9999999997
84,4,17,7,NA
60,4,13,72,NA
78,4,13,30,NA
84,5,25,18.07,NA
39,6,27,240,NA
65,6,16,12.03,267238
51,7,10,54,NA
29,3,10,10,NA
5,6,10,40,NA
9,2,13,60,NA
73,7,21,133,NA
20,6,10,60,NA
14,3,16,10,51806
51,6,13,NA,NA
41,2,10,48,NA
46,4,10,57,NA
48,2,10,72,NA
41,6,17,12.03,NA
87,5,13,96,NA
73,7,10,110,NA
29,6,10,180,NA
72,6,13,84,NA
43,4,13,162,NA
70,7,17,7,NA
39,6,10,264,NA
39,6,10,120,NA
74,1,10,24,NA
40,6,30,46,NA
69,4,24,27,NA
40,6,10,48,NA
40,6,30,46,NA
70,3,16,8.61,9999999997
84,6,17,37,NA
39,1,10,12,NA
40,2,17,13,NA
84,4,17,10,NA
31,6,16,NA,1272796
84,5,4,24,NA
53,6,10,143,NA
70,7,13,13,NA
84,5,17,6.31,NA
41,7,17,5.52,NA
7,2,13,48,NA
70,6,17,8,NA
14,6,16,NA,8427
13,7,16,36,1801667
70,7,17,1.08,NA
40,5,10,80,NA
70,7,17,3.78,NA
37,4,10,219,NA
70,6,13,30,NA
41,6,17,15,NA
70,6,17,12.03,NA
87,5,13,120,NA
70,6,17,3.29,NA
41,6,17,18,NA
70,4,17,36,NA
60,5,10,84,NA
41,6,17,12.03,NA
8,2,10,72,NA
38,6,10,120,NA
41,4,17,4.2,NA
66,4,13,30,NA
66,4,10,NA,NA
66,2,13,60,NA
66,3,28,NA,NA
41,6,17,46,NA
70,5,17,9,NA
30,7,10,24,NA
30,6,10,108,NA
70,6,17,12.03,NA
66,3,10,100,NA
54,2,16,37,111702
30,5,13,60,NA
87,7,13,36,NA
87,4,24,24,NA
66,6,10,120,NA
68,5,10,0.03,NA
84,1,17,4.17,NA
16,4,10,12.03,NA
68,3,10,100,NA
42,6,10,84,NA
84,6,17,30,NA
12,2,10,72,NA
39,2,26,0.03,2553
70,6,10,36,NA
41,7,17,15,NA
51,5,29,NA,25064
15,6,16,18,NA
30,4,10,78,NA
30,5,22,470,NA
40,6,13,18,NA
83,5,13,24,NA
68,7,10,108,NA
13,5,26,78,9999999997
66,4,10,NA,NA
41,1,17,4.49,NA
40,4,28,12.03,NA
40,7,13,48,NA
85,7,10,60,NA
13,7,12,24,NA
15,5,10,34.03,NA
40,6,10,72,NA
85,6,17,0.03,NA
30,6,17,7,NA
41,6,10,135,NA
42,6,17,6.13,NA
40,4,17,42,NA
41,5,17,18,NA
42,4,7,78,9999999997
42,6,17,4.79,NA
42,7,17,6.49,NA
8,6,16,0.03,65000
42,3,17,12.03,NA
42,7,17,19.72,NA
66,7,29,18,1990973
1,6,10,30,NA
42,5,17,6.1,NA
42,7,17,11.3,NA
42,5,13,51,NA
84,3,17,8,NA
29,5,8,0.03,NA
41,6,10,37,NA
42,6,17,6.33,NA
42,7,17,8.95,NA
42,4,17,5.99,NA
40,6,21,42,NA
42,4,17,6.1,NA
42,6,17,0.03,NA
42,6,17,11.72,NA
42,2,10,24,NA
32,5,17,11.79,NA
42,5,17,9.2,NA
42,6,17,6.82,NA
42,5,17,7.53,NA
34,7,16,NA,243004
51,5,13,30,NA
39,7,10,135,NA
42,6,10,36,NA
39,7,10,108,NA
39,4,10,97,NA
39,6,13,27,NA
51,6,29,15,57672
70,2,17,6,NA
58,6,10,66,NA
41,3,4,120,NA
73,5,17,8,NA
17,5,10,77,NA
77,3,24,60,NA
1,7,27,469.99,NA
58,4,7,120,NA
67,4,10,135,NA
47,4,10,24,NA
16,5,13,30,NA
67,7,7,78,NA
16,6,12,0.07,NA
62,5,17,96,NA
83,4,10,84,NA
67,5,10,63,NA
42,6,17,8.13,NA
42,6,17,6.23,NA
77,3,27,96,NA
67,6,10,180,NA
42,7,17,6.62,NA
42,5,17,8.26,NA
16,4,13,36,NA
70,6,17,NA,NA
42,5,17,6.1,NA
42,7,17,12.69,NA
41,3,10,87,NA
61,4,10,168,NA
4,5,17,0.03,NA
53,3,10,120,NA
70,3,13,NA,NA
74,6,17,8,NA
67,4,10,130,NA
34,4,30,NA,NA
34,4,30,NA,NA
14,3,16,0.53,9999999997
12,3,13,84,NA
14,4,13,NA,NA
85,5,9,0.03,NA
83,3,30,NA,NA
39,2,17,40,NA
34,3,27,28,NA
39,2,26,250,439
16,6,12,27,NA
47,4,10,NA,NA
62,3,13,37,NA
70,5,17,9,NA
7,3,16,18,9999999997
13,7,10,204,NA
74,3,10,18,NA
12,5,21,NA,25000
84,6,21,276,NA
30,4,27,262,NA
42,6,17,0.03,NA
74,3,17,10,NA
30,2,13,18,NA
74,4,17,13.03,NA
72,6,16,39,111071
64,4,4,120,NA
48,7,10,54,NA
74,4,13,48,NA
17,3,16,54,81411
31,3,17,0.03,NA
41,6,10,120,NA
74,4,10,60,NA
74,1,17,18,NA
17,3,13,30,NA
42,4,10,70,NA
42,7,10,120,NA
60,4,1,10.59,NA
96,6,10,130,NA
42,6,10,151,NA
17,3,13,96,NA
42,3,16,NA,35612
60,3,10,51,NA
42,3,10,75,NA
18,3,10,4,NA
5,3,10,26.46,NA
74,4,17,2.92,NA
40,5,17,60.03,NA
42,4,10,97,NA
40,7,10,105,NA
